"Step","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_P3P","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MAX"
"2012","","","","","","","174.19347331853908","174.19347331853908","174.19347331853908","","","","","",""
"2014","","","","28.235830472422606","28.235830472422606","28.235830472422606","","","","","","","","",""
"2015","25.99844046935675","25.99844046935675","25.99844046935675","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","104.1626093837204","104.1626093837204","104.1626093837204"
"2020","","","","","","","","","","51.20842743354095","51.20842743354095","51.20842743354095","","",""
"2021","","","","","","","74.19293402468959","74.19293402468959","74.19293402468959","","","","","",""
"2023","","","","22.49546280838848","22.49546280838848","22.49546280838848","","","","","","","","",""
"2024","102.87775860148062","102.87775860148062","102.87775860148062","","","","","","","","","","","",""
"2025","","","","","","","","","","","","","13.009760336286348","13.009760336286348","13.009760336286348"
"2029","","","","","","","","","","103.63026103215174","103.63026103215174","103.63026103215174","","",""
"2030","","","","","","","58.462890438336444","58.462890438336444","58.462890438336444","","","","","",""
"2032","","","","94.51066842598597","94.51066842598597","94.51066842598597","","","","","","","","",""
"2033","163.46541764377397","163.46541764377397","163.46541764377397","","","","","","","","","","","",""
"2034","","","","","","","","","","","","","111.20589154029102","111.20589154029102","111.20589154029102"
"2038","","","","","","","","","","61.871432631844456","61.871432631844456","61.871432631844456","","",""
"2039","","","","","","","119.45041608963393","119.45041608963393","119.45041608963393","","","","","",""
"2041","","","","80.94182497922202","80.94182497922202","80.94182497922202","","","","","","","","",""
"2042","100.79908043703547","100.79908043703547","100.79908043703547","","","","","","","","","","","",""
"2043","","","","","","","","","","","","","96.3603821814009","96.3603821814009","96.3603821814009"
"2047","","","","","","","","","","1.9780802730183495","1.9780802730183495","1.9780802730183495","","",""
"2048","","","","","","","80.90688042831047","80.90688042831047","80.90688042831047","","","","","",""
"2050","","","","45.12149171125469","45.12149171125469","45.12149171125469","","","","","","","","",""
"2051","107.63550272890474","107.63550272890474","107.63550272890474","","","","","","","","","","","",""
